source_domain,chart,region,date,position,title,artist,url,scraped_at
billboard.com,Greatest of All Time Hot 100 Singles,US,,80,I Love Rock 'N Roll,Joan Jett & The Blackhearts,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,81,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,82,Whoomp! (There It Is),Tag Team,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,83,God's Plan,Drake,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,84,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,85,Ebony And Ivory,Paul McCartney And Stevie Wonder,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,86,Rush Rush,Paula Abdul,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,87,That's What Friends Are For,"Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder",,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,88,Happy,Pharrell Williams,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,89,Upside Down,Diana Ross,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,90,"Sugar, Sugar",The Archies,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,91,Just The Way You Are,Bruno Mars,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,92,Dilemma,Nelly Featuring Kelly Rowland,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,93,I Heard It Through The Grapevine,Marvin Gaye,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,94,You're Still The One,Shania Twain,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,95,Billie Jean,Michael Jackson,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,96,Hot Stuff,Donna Summer,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,97,Rockstar,Post Malone Featuring 21 Savage,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,98,Gangsta's Paradise,Coolio Featuring L.V.,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,99,Abracadabra,The Steve Miller Band,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,100,You're So Vain,Carly Simon,,2025-11-22T13:42:37.507466+00:00
