source,domain,chart,region,country,continent,date,position,title,artist,url,scraped_at,city,track_id,album,popularity,energy,danceability,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,10 NUMARA,Lvbel C5,,2025-11-28T03:10:11.431570,,,Viral Şarkılar,60,0.652,0.684,0.654,142.068,-10.144,0.00667,0.000236,0.164,0.0816
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,To the Bone,Pamungkas,,2025-11-28T03:10:11.431570,,,Flying Solo,77,0.727,0.668,0.939,139.991,-6.55,0.514,1.9e-05,0.027,0.1
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,It's You,Sezairi,,2025-11-28T03:10:11.431570,,,It's You,63,0.456,0.63,0.166,137.915,-8.285,0.545,0.0,0.0317,0.114
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,I Love You So,The Walters,,2025-11-28T03:10:11.431570,,,I Love You So,87,0.648,0.575,0.466,75.977,-4.891,0.583,0.0,0.0358,0.115
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Yours,JIN,,2025-11-28T03:10:11.431570,,,Jirisan (Original Television Soundtrack) Pt. 4,63,0.427,0.488,0.157,72.035,-7.383,0.354,0.0,0.0382,0.0797
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Rare,Nas,,2025-11-28T03:10:11.431570,,,King's Disease II,45,0.851,0.498,0.518,78.025,-5.496,0.132,4.21e-06,0.326,0.529
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Crocodile Teeth,Skillibeng,,2025-11-28T03:10:11.431570,,,Consistency (Through the Years),60,0.644,0.595,0.224,107.107,-7.46,0.14,0.00021,0.307,0.245
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Gvnman Shift,Skeng,,2025-11-28T03:10:11.431570,,,Gvnman Shift,53,0.57,0.911,0.368,100.093,-5.689,0.549,0.0,0.314,0.0966
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Rolling Calf,Chronic Law,,2025-11-28T03:10:11.431570,,,Rolling Calf,22,0.837,0.615,0.662,180.905,-3.899,0.568,3.1e-06,0.472,0.119
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,West Indies,KOFFEE,,2025-11-28T03:10:11.431570,,,West Indies,52,0.638,0.754,0.437,90.137,-7.951,0.118,0.0,0.303,0.204
