index,source_title,source_artist,spotify_name,spotify_artists,track_id,matches,reason
1167,Jiunu Nai Hola,Tribal Rain,Jiunu Nai Hola,Tribal Rain,59P5MoE5SawsaMpBVHhj6o,True,Perfect match
1168,The Tempest,Pendulum,The Tempest,Pendulum,6gTQubOSdry0ievEXvhzxd,True,Perfect match
1169,Rain,Breaking Benjamin,Rain,Breaking Benjamin,2ehkJlAysINP3czoqaklyT,True,Perfect match
1170,Marianas Trench,August Burns Red,Mariana's Trench,August Burns Red,5iMPhdSTH7OovnhUzo2juY,False,Artist matches but title differs: 'Marianas Trench' vs 'Mariana's Trench'
1171,En nuit,VIDEOCLUB,En nuit,Videoclub,1Rvl9e8bRf4EVEyZNg1YHW,True,Perfect match
1172,Preciosidade,Damares,Preciosidade,Damares,5dZ44ovq0lsSvf72vAC1t2,True,Perfect match
1173,Lamentações 2:19,LEALL,Lamentações 2:19,LEALL;Nagalli,6nQRnJYQUowTFUxoCmV96c,True,Perfect match
1174,Party of One feat. Sam Smith,Brandi Carlile,Party of One (feat. Sam Smith),Brandi Carlile;Sam Smith,25fcj6d2W1l8DQL11Czdzb,True,Perfect match
1175,PAINLESS,Josh A,PAINLESS,Josh A,2DBzFlduaVzw2EHdP1ZnbG,True,Perfect match
1176,ROCK IT,Tokyo Machine,ROCK IT,Tokyo Machine,1yv3aBLO9rgyEHmAR7jI1M,True,Perfect match
1177,The Other Son of Odin,Brothers of Metal,The Other Son of Odin,Brothers of Metal,3M48mLjTHfMx6ogQfTVE9r,True,Perfect match
1178,​talk,keshi,talk,keshi,0b8Sf6sJqXOr9cP6tQ7QQx,True,Perfect match
1179,Two-Lane Blacktop,Rob Zombie,Two-Lane Blacktop,Rob Zombie,4VIM6bcYnJZsrmIOAbWoxF,True,Perfect match
1180,Stabwound,Necrophagist,Stabwound,Necrophagist,78oF7KjxHMJHtiwgc2I3rw,True,Perfect match
1181,Overdrive,Aaryan Shah,Overdrive,Aaryan Shah,2IaILbVsOyRkIqEMm64Tdt,True,Perfect match
1182,1985,Bowling for Soup,1985,Bowling For Soup,5oQcOu1omDykbIPSdSQQNJ,True,Perfect match
1183,Ye,Burna Boy,Ye,Burna Boy,3FskQrDXcY24ur2fCvz35O,True,Perfect match
1184,Outro: Wings,BTS,Outro: Wings,BTS,7kyUapJyppdjzoAWB6XS14,True,Perfect match
1185,​​vice city,XXXTENTACION,vice city,XXXTENTACION,17wxJ7IZKboyECnxZw7Vo1,True,Perfect match
1186,Dumb,Nirvana,Dumb,Nirvana,5gRcv46AMTrosmTOqrOV3Q,True,Perfect match
1187,Doppelgänger,Lissom,Doppelgänger,Lissom;Julien Marchal;Lowswimmer,7qjF1j0sMTLcmiTKXwVh09,True,Perfect match
1188,I am not a woman Im a god,Halsey,"I am not a woman, I'm a god",Halsey,3XKjZcgNYtvCmBpE1nX7Wn,False,"Artist matches but title differs: 'I am not a woman Im a god' vs 'I am not a woman, I'm a god'"
1189,Boombastic,Shaggy,Boombastic,Shaggy,4fxF8ljwryMZX5c9EKrLFE,True,Perfect match
1190,One Take,Lil Tjay,One Take,Lil Tjay,4uu7gKd1PffC7QEMcMk0Ro,True,Perfect match
1191,Circle the Drain,Wage War,Circle The Drain,Wage War,37LTDJrNmWco1qHO1AuZ1r,True,Perfect match
1192,Butterflies,ASTN,Butterflies,ASTN,6mCljAhAwsKTCsdaA0tIYF,True,Perfect match
1193,Esqueceu Foi Porra,Eric Land,Esqueceu Foi Porra,Eric Land;Tarcísio do Acordeon,2xADGxc3wNQk9YBSWIROyx,True,Perfect match
1194,Have Faith in Me,A Day To Remember,Have Faith In Me,A Day To Remember,4IX6QvjOI62tyHigVsTUlv,True,Perfect match
1195,Gul,Anuv Jain,Gul,Anuv Jain,0NLkVxf0PyxsXBG3EuZcJf,True,Perfect match
1196,Steady as She Goes,The Raconteurs,"Steady, As She Goes",The Raconteurs,4xlEKYv7HmC8zXoJIbpZKM,True,Perfect match
1197,Nobody Can Save Me,Linkin Park,Nobody Can Save Me,Linkin Park,3dJj6o9o1fRgrojWjailuz,True,Perfect match
1198,Paradise,Sade,Paradise,Sade,4tReFKumS5bcFahdXDiM1b,True,Perfect match
1199,Ek ajnabee haseena se,Kishore Kumar,Ek Ajnabee Haseena Se,Kishore Kumar;R. D. Burman,1mPNK9DQVA7gJNtJ20PZu3,True,Perfect match
1200,Mere Rashke Qamar,Nusrat Fateh Ali Khan,Mere Rashke Qamar,Nusrat Fateh Ali Khan;Rahat Fateh Ali Khan,4sNiMTu47WkUgW87qeUlWF,True,Perfect match
1201,​parents,YUNGBLUD,parents,YUNGBLUD,68rVGSTnCiFOET9k5Vd8Se,True,Perfect match
1202,Keine Lust,Rammstein,Keine Lust,Rammstein,7eeDeUM9E7b0vkDfRz20Zt,True,Perfect match
1203,Rip  Tear,Mick Gordon,Rip & Tear,Mick Gordon,5soMJpcVhSrGrB4prvPL6P,True,Perfect match
1204,Mama,Jonas Blue,Mama,Jonas Blue;William Singe,7jEyX4bqaCSdMN4D4JNnVj,True,Perfect match
1205,The Blowers Daughter,Damien Rice,The Blower's Daughter,Damien Rice,5yyRH93h4Pm6tXXYTxt7ea,False,Artist matches but title differs: 'The Blowers Daughter' vs 'The Blower's Daughter'
1206,Fake It,Seether,Fake It,Seether,4eAwB5pnKFTmsgc3zWoYO0,True,Perfect match
1207,Shes So Nice,Pink Guy,She's So Nice,Pink Guy,0Dfctnkk9xIikDKJ06uwzo,False,Artist matches but title differs: 'Shes So Nice' vs 'She's So Nice'
1208,En El Coche,Aitana,En El Coche,Aitana,5mcYWxQAAlqGAhEPqVMMR5,True,Perfect match
1209,Eyes Off You,PRETTYMUCH,Eyes Off You,PRETTYMUCH,0VpEX8ib3wE7u8NOw4szU6,True,Perfect match
1210,Road Trippin,Red Hot Chili Peppers,Road Trippin',Red Hot Chili Peppers,7Gpr3kKk4BMgItz6UbI73q,True,Perfect match
1211,Didnt Know,Tom Zanetti,Didn't Know,Tom Zanetti,3kNWyHdLVW1x6pn9EnSQ1H,False,Artist matches but title differs: 'Didnt Know' vs 'Didn't Know'
1212,On My Mind,Ellie Goulding,On My Mind,Ellie Goulding,5a7NdkF09AfD0H607eiOkX,True,Perfect match
1213,Criminal,Fiona Apple,Criminal,Fiona Apple,6PNvv1dmDbOWrAYwEcuKBX,True,Perfect match
1214,Paint It Black,The Rolling Stones,"Paint It, Black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,True,Perfect match
1215,Machu Picchu,The Strokes,Machu Picchu,The Strokes,6mVD1SfTvlFAPVi7txFL5H,True,Perfect match
1216,Best of You,Foo Fighters,Best of You,Foo Fighters,5FZxsHWIvUsmSK1IAvm2pp,True,Perfect match
1217,Runaway,Bon Jovi,Runaway,Bon Jovi,0X1sqQ652p1sceKM2nJlIJ,True,Perfect match
1218,Shot in the Dark,John Mayer,Shot in the Dark,John Mayer,239yM7BAQ2CkNc61ogPGXo,True,Perfect match
1219,This Feeling,The Chainsmokers,This Feeling,The Chainsmokers;Kelsea Ballerini,4NBTZtAt1F13VvlSKe6KTl,True,Perfect match
1220,Habits Stay High,Tove Lo,Habits (Stay High),Tove Lo,18AJRdgUoO9EYn11N7xzaT,True,Perfect match
1221,​crushcrushcrush,Paramore,crushcrushcrush,Paramore,4m9NfjevXsDVaLtM1kj0Sx,True,Perfect match
1222,Give Me A Reason,Jillian Rossi,Give Me A Reason,Jillian Rossi,1qWV2QMhVwWRDAbirrkkf1,True,Perfect match
